This is a Lite version of ISE Simulator.

Simulator is doing circuit initialization process.
Finished circuit initialization process.
cnt = 382 , EMG = 0 , lights = 0001_0100
cnt = 383 , EMG = 0 , lights = 0001_0100
cnt = 384 , EMG = 0 , lights = 0001_0100
cnt = 385 , EMG = 0 , lights = 0001_0100
cnt = 386 , EMG = 0 , lights = 0001_0100
cnt = 387 , EMG = 0 , lights = 0001_0100
cnt = 388 , EMG = 0 , lights = 0001_0100
cnt = 389 , EMG = 0 , lights = 0001_0100
cnt = 390 , EMG = 0 , lights = 0001_0100
cnt = 391 , EMG = 0 , lights = 0001_0010
cnt = 392 , EMG = 0 , lights = 0001_0010
cnt = 393 , EMG = 0 , lights = 0001_0010
cnt = 394 , EMG = 0 , lights = 1001_0001
cnt = 395 , EMG = 0 , lights = 1001_0001
cnt = 396 , EMG = 0 , lights = 1001_0001
cnt = 397 , EMG = 0 , lights = 1001_0001
cnt = 398 , EMG = 0 , lights = 1001_0001
cnt = 399 , EMG = 0 , lights = 0100_0001
cnt = 400 , EMG = 0 , lights = 0100_0001
cnt = 401 , EMG = 0 , lights = 0100_0001
cnt = 402 , EMG = 0 , lights = 0100_0001
cnt = 403 , EMG = 0 , lights = 0100_0001
cnt = 404 , EMG = 0 , lights = 0100_0001
cnt = 405 , EMG = 0 , lights = 0100_0001
cnt = 405 , EMG = 1 , lights = 0100_0001
cnt = 406 , EMG = 1 , lights = 0001_0001
cnt = 407 , EMG = 1 , lights = 0001_0001
cnt = 408 , EMG = 1 , lights = 0001_0001
cnt = 409 , EMG = 1 , lights = 0001_0001
cnt = 410 , EMG = 1 , lights = 0001_0001
cnt = 411 , EMG = 1 , lights = 0001_0001
cnt = 412 , EMG = 1 , lights = 0001_0001
cnt = 413 , EMG = 0 , lights = 0100_0001
cnt = 414 , EMG = 0 , lights = 0100_0001
cnt = 415 , EMG = 0 , lights = 0100_0001
cnt = 416 , EMG = 0 , lights = 0100_0001
cnt = 417 , EMG = 0 , lights = 0010_0001
cnt = 418 , EMG = 0 , lights = 0010_0001
cnt = 419 , EMG = 0 , lights = 0010_0001
cnt = 420 , EMG = 0 , lights = 0001_1001
cnt = 421 , EMG = 0 , lights = 0001_1001
cnt = 422 , EMG = 0 , lights = 0001_1001
cnt = 423 , EMG = 0 , lights = 0001_1001
cnt = 424 , EMG = 0 , lights = 0001_1001
cnt = 425 , EMG = 0 , lights = 0001_0100
cnt = 426 , EMG = 0 , lights = 0001_0100
cnt = 427 , EMG = 0 , lights = 0001_0100
cnt = 428 , EMG = 0 , lights = 0001_0100
cnt = 429 , EMG = 0 , lights = 0001_0100
cnt = 430 , EMG = 0 , lights = 0001_0100
cnt = 431 , EMG = 0 , lights = 0001_0100
cnt = 432 , EMG = 0 , lights = 0001_0100
cnt = 433 , EMG = 0 , lights = 0001_0100
cnt = 434 , EMG = 0 , lights = 0001_0100
cnt = 435 , EMG = 0 , lights = 0001_0010
cnt = 436 , EMG = 0 , lights = 0001_0010
cnt = 437 , EMG = 0 , lights = 0001_0010
cnt = 438 , EMG = 0 , lights = 1001_0001
cnt = 439 , EMG = 0 , lights = 1001_0001
cnt = 440 , EMG = 0 , lights = 1001_0001
cnt = 441 , EMG = 0 , lights = 1001_0001
cnt = 442 , EMG = 0 , lights = 1001_0001
cnt = 443 , EMG = 0 , lights = 0100_0001
cnt = 444 , EMG = 0 , lights = 0100_0001
cnt = 445 , EMG = 0 , lights = 0100_0001
cnt = 446 , EMG = 0 , lights = 0100_0001
cnt = 447 , EMG = 0 , lights = 0100_0001
cnt = 448 , EMG = 0 , lights = 0100_0001
cnt = 449 , EMG = 0 , lights = 0100_0001
cnt = 450 , EMG = 0 , lights = 0100_0001
cnt = 451 , EMG = 0 , lights = 0100_0001
cnt = 452 , EMG = 0 , lights = 0100_0001
cnt = 453 , EMG = 0 , lights = 0010_0001
cnt = 454 , EMG = 0 , lights = 0010_0001
cnt = 455 , EMG = 0 , lights = 0010_0001
cnt = 456 , EMG = 0 , lights = 0001_1001
cnt = 457 , EMG = 0 , lights = 0001_1001
cnt = 458 , EMG = 0 , lights = 0001_1001
cnt = 459 , EMG = 0 , lights = 0001_1001
cnt = 460 , EMG = 0 , lights = 0001_1001
cnt = 461 , EMG = 0 , lights = 0001_0100
cnt = 462 , EMG = 0 , lights = 0001_0100
cnt = 463 , EMG = 0 , lights = 0001_0100
cnt = 464 , EMG = 0 , lights = 0001_0100
cnt = 465 , EMG = 0 , lights = 0001_0100
cnt = 466 , EMG = 0 , lights = 0001_0100
cnt = 467 , EMG = 0 , lights = 0001_0100
cnt = 468 , EMG = 0 , lights = 0001_0100
cnt = 469 , EMG = 0 , lights = 0001_0100
cnt = 470 , EMG = 0 , lights = 0001_0100
cnt = 471 , EMG = 0 , lights = 0001_0010
cnt = 472 , EMG = 0 , lights = 0001_0010
cnt = 473 , EMG = 0 , lights = 0001_0010
cnt = 474 , EMG = 0 , lights = 1001_0001
cnt = 475 , EMG = 0 , lights = 1001_0001
cnt = 476 , EMG = 0 , lights = 1001_0001
cnt = 477 , EMG = 0 , lights = 1001_0001
cnt = 478 , EMG = 0 , lights = 1001_0001
cnt = 479 , EMG = 0 , lights = 0100_0001
cnt = 480 , EMG = 0 , lights = 0100_0001
cnt = 481 , EMG = 0 , lights = 0100_0001
cnt = 482 , EMG = 0 , lights = 0100_0001
cnt = 483 , EMG = 0 , lights = 0100_0001
cnt = 484 , EMG = 0 , lights = 0100_0001
cnt = 485 , EMG = 0 , lights = 0100_0001
cnt = 486 , EMG = 0 , lights = 0100_0001
cnt = 487 , EMG = 0 , lights = 0100_0001
cnt = 488 , EMG = 1 , lights = 0001_0001
cnt = 489 , EMG = 1 , lights = 0001_0001
cnt = 490 , EMG = 1 , lights = 0001_0001
cnt = 491 , EMG = 1 , lights = 0001_0001
cnt = 492 , EMG = 1 , lights = 0001_0001
cnt = 493 , EMG = 1 , lights = 0001_0001
cnt = 494 , EMG = 1 , lights = 0001_0001
cnt = 495 , EMG = 1 , lights = 0001_0001
cnt = 495 , EMG = 0 , lights = 0001_0001
cnt = 496 , EMG = 0 , lights = 0100_0001
cnt = 497 , EMG = 0 , lights = 0100_0001
cnt = 498 , EMG = 0 , lights = 0010_0001
cnt = 499 , EMG = 0 , lights = 0010_0001
cnt = 500 , EMG = 0 , lights = 0010_0001
% 
